[3, 11, 14, 16, 7, 56, 8, 1, 22]
[3, 11, 14, 7, 16, 56, 8, 1, 22]
[3, 11, 14, 7, 16, 8, 56, 1, 22]
[3, 11, 14, 7, 16, 8, 1, 56, 22]
[3, 11, 14, 7, 16, 8, 1, 22, 56]
[3, 11, 7, 14, 16, 8, 1, 22, 56]
[3, 11, 7, 14, 8, 16, 1, 22, 56]
[3, 11, 7, 14, 8, 1, 16, 22, 56]
[3, 7, 11, 14, 8, 1, 16, 22, 56]
[3, 7, 11, 8, 14, 1, 16, 22, 56]
[3, 7, 11, 8, 1, 14, 16, 22, 56]
[3, 7, 8, 11, 1, 14, 16, 22, 56]
[3, 7, 8, 1, 11, 14, 16, 22, 56]
[3, 7, 1, 8, 11, 14, 16, 22, 56]
[3, 1, 7, 8, 11, 14, 16, 22, 56]
[1, 3, 7, 8, 11, 14, 16, 22, 56]
